stringcode,description,en,pt_BR,zh_CN,zh_TW,nl,eo,fi,fr,de,id,it,ja,ko,pl,ru,sr,sr_Latn,es,th,tr,uk,vi
main_title,메인메뉴 - 새 게임 버튼,New Game,Novo Jogo,新游戏,新遊戲,Nieuw Spel,Nova Ludo,Uusi Peli,Nouveau Jeu,Neues Spiel,Game Baru,Nuova Partita,新しいゲーム,새 게임,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game
main_newgame,메인메뉴 - 새 게임 버튼,New Game,Novo Jogo,新游戏,新遊戲,Nieuw Spel,Nova Ludo,Uusi Peli,Nouveau Jeu,Neues Spiel,Game Baru,Nuova Partita,新しいゲーム,새 게임,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game,New Game
main_continue,메인메뉴 - 이어하기 버튼,Continue,Continuar,继续,繼續,Doorgaan,Daŭrigi,Jatka,Continuer,Fortfahren,Lanjutkan,Continua,続ける,계속하기,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue
main_compendium,메인메뉴 - 도감 버튼,Dictionary,Dicionário,图鉴,圖鑑,Woordenboek,Vortaro,Sanakirja,Dictionnaire,Wörterbuch,Kamus,Dizionario,図鑑,도감,Dictionary,Dictionary,Dictionary,Dictionary,Dictionary,Dictionary,Dictionary,Dictionary,Dictionary
main_ranking,메인메뉴 - 랭킹 버튼,Ranking,Classificação,排行榜,排行榜,Rangschikking,Klasifiko,Sijoitus,Classement,Rangliste,Peringkat,Classifica,ランキング,랭킹,Ranking,Ranking,Ranking,Ranking,Ranking,Ranking,Ranking,Ranking,Ranking
main_exit,메인메뉴 - 종료 버튼,Exit,Sair,退出,退出,Afsluiten,Eliri,Poistu,Quitter,Beenden,Keluar,Esci,終了,종료,Exit,Exit,Exit,Exit,Exit,Exit,Exit,Exit,Exit
main_warrior,메인메뉴 - 종료 버튼,Quit,Sair,退出,退出,Afsluiten,Eliri,Lopeta,Quitter,Beenden,Keluar,Esci,終了,게임 종료,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit
main_gunner,메인메뉴 - 종료 버튼,Quit,Sair,退出,退出,Afsluiten,Eliri,Lopeta,Quitter,Beenden,Keluar,Esci,終了,게임 종료,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit
main_mage,메인메뉴 - 종료 버튼,Quit,Sair,退出,退出,Afsluiten,Eliri,Lopeta,Quitter,Beenden,Keluar,Esci,終了,게임 종료,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit,Quit
main_startrun,캐릭터 선택 - 런 시작 버튼,Start Run,Iniciar,开始,開始,Starten,Komenci,Aloita,Démarrer,Starten,Mulai,Inizia,スタート,런 시작,Start Run,Start Run,Start Run,Start Run,Start Run,Start Run,Start Run,Start Run,Start Run
ingame_endturn,전투 - 턴 종료 버튼,End Turn,Fim do Turno,结束回合,結束回合,Beurt Beëindigen,Fini Turo,Lopeta Vuoro,Fin du Tour,Zug Beenden,Akhiri Giliran,Fine Turno,ターン終了,턴 종료,End Turn,End Turn,End Turn,End Turn,End Turn,End Turn,End Turn,End Turn,End Turn
ingame_range_indicator,전투 - 카드 정보 버튼,Card Info,Informações da Carta,卡牌信息,卡牌資訊,Kaartinformatie,Kart-Informo,Korttitiedot,Infos sur la carte,Karteninfo,Info Kartu,Info Carta,カード情報,카드 정보,Informacje o karcie,Информация о карте,Информације о карти,Informacije o karti,Información de la carta,ข้อมูลการ์ด,Kart Bilgisi,Інформація про карту,Thông tin thẻ bài
ingame_skip,전투 - 카드보상 넘기기 버튼,Skip,Pular,跳过,跳過,Overslaan,Preterlasi,Ohita,Passer,Überspringen,Lewati,Salta,スキップ,넘기기,Pomiń,Пропустить,Прескочи,Preskoči,Saltar,ข้าม,Atla,Пропустити,Bỏ qua


char_select_title,캐릭터 선택 화면 제목,Select Character,Selecionar Personagem,选择角色,選擇角色,Personage Kiezen,Elekti Personagon,Valitse Hahmo,Choisir un Personnage,Charakter Wählen,Pilih Karakter,Scegli Personaggio,キャラクター選択,캐릭터 선택,Select Character,Select Character,Select Character,Select Character,Select Character,Select Character,Select Character,Select Character,Select Character
char_stats_hp,캐릭터 스탯 - HP,HP,HP,生命值,生命值,LP,VP,HP,PV,LP,HP,HP,HP,HP,HP,HP,HP,HP,HP,HP,HP,HP,HP
char_stats_energy,캐릭터 스탯 - 에너지,Energy,Energia,能量,能量,Energie,Energio,Energia,Énergie,Energie,Energi,Energia,エネルギー,에너지,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy
combat_my_turn,전투 - 플레이어 턴 표시,My Turn,Meu Turno,我的回合,我的回合,Mijn Beurt,Mia Turo,Minun Vuoroni,Mon Tour,Mein Zug,Giliran Saya,Turno Mio,自分のターン,내 턴,My Turn,My Turn,My Turn,My Turn,My Turn,My Turn,My Turn,My Turn,My Turn
combat_enemy_turn,전투 - 적 턴 표시,Enemy Turn,Turno Inimigo,敌人回合,敵人回合,Vijand Beurt,Malamika Turo,Vihollisen Vuoro,Tour Ennemi,Feind Zug,Giliran Musuh,Turno Nemico,敵のターン,적 턴,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn,Enemy Turn
combat_draw_pile,전투 - 드로우 더미,Draw,Comprar,牌堆,牌堆,Trekstapel,Tiri,Nosto,Piocher,Ziehen,Tarik,Pesca,山札,드로우,Draw,Draw,Draw,Draw,Draw,Draw,Draw,Draw,Draw
combat_discard_pile,전투 - 버린 카드 더미,Discard,Descarte,弃牌堆,棄牌堆,Aflegstapel,Forĵeti,Pakka,Défausse,Ablegen,Buang,Scarto,捨て札,버린 카드,Discard,Discard,Discard,Discard,Discard,Discard,Discard,Discard,Discard
combat_block,전투 - 방어도 표시,Block,Bloqueio,格挡,格擋,Blokkeren,Bloki,Suojaus,Blocage,Block,Blokir,Blocco,ブロック,방어도,Block,Block,Block,Block,Block,Block,Block,Block,Block
card_draw_pile,카드 목록 패널 제목,Draw Pile,Monte de Compras,牌堆,牌堆,Trekstapel,Tiri-amaso,Nostopakka,Pioche,Ziehstapel,Tumpukan Tarik,Mazzo Pesca,山札,드로우 더미,Draw Pile,Draw Pile,Draw Pile,Draw Pile,Draw Pile,Draw Pile,Draw Pile,Draw Pile,Draw Pile
card_discard_pile,카드 목록 패널 제목,Discard Pile,Pilha de Descarte,弃牌堆,棄牌堆,Aflegstapel,Forĵet-amaso,Hylkäyspakka,Défausse,Ablagestapel,Tumpukan Buang,Scarti,捨て札,버린 카드,Discard Pile,Discard Pile,Discard Pile,Discard Pile,Discard Pile,Discard Pile,Discard Pile,Discard Pile,Discard Pile
deck_viewer,카드 목록 패널 제목,Deck,Baralho,牌组,牌組,Deck,Kartaro,Pakka,Deck,Deck,Dek,Mazzo,デッキ,덱 보기,Deck,Deck,Deck,Deck,Deck,Deck,Deck,Deck,Deck
card_view_original,카드 강화 토글,View Original,Ver Original,查看原版,查看原版,Origineel Bekijken,Vidi Originalan,Näytä Alkuperäinen,Voir Original,Original Ansehen,Lihat Asli,Vedi Originale,オリジナルを見る,원본 보기,View Original,View Original,View Original,View Original,View Original,View Original,View Original,View Original,View Original
